DOI,Title,Year,First Authors,Affiliation
https://doi.org/10.1080/01584197.2020.1758570,A recent investigation highlights the importance of honesty in ornithology and conservation,2020,"['Olsen, P', 'Menkhorst, P']",Australian National University
https://doi.org/10.1080/01584197.2021.1993525,Emu Austral Ornithology: the value of ornithological research for conservation,2021,"['Buchanan, KL', 'Herman, K']",Deakin University
https://doi.org/10.1093/ahr/rhab533,Listening to Extinction: Early Conservation Radio Sounds and the Silences of Species,2021,"['Hui, A']",Mississippi State University
https://doi.org/10.1016/j.heliyon.2019.e02525,"Ethno-ornithology and onomastics in the Natta community, Serengeti district, Tanzania",2019,"['Chiwanga, FE', 'Mkiramweni, NP']",Sokoine University of Agriculture
https://doi.org/10.1016/j.jnc.2017.09.005,"Hunting strategies employed by bird hunters with economic pursuit in the city of Guiyang, Southwest China",2017,"['Dai, CY', 'Hu, W']",Guizhou Education University
https://doi.org/10.1525/hsns.2020.50.4.433,Birds Without Borders: Ecological Diplomacy and the WWF in Franco's Spain,2020,"['Camprubi, L']",University of Sevilla
https://doi.org/10.1111/eth.12746,Citizen science and wildlife biology: Synergies and challenges,2018,"['Frigerio, D', 'Pipek, P', 'Kimmig, S', 'Winter, S', 'Melzheimer, J', 'Diblikova, L', 'Wachter, B', 'Richter, A']",University of Vienna
https://doi.org/10.14237/ebl.9.2.2018.931,Ethno-Ornithology of the Mushere of Nigeria: Children's Knowledge and Perceptions of Birds,2018,"['Pam, G', 'Zeitlyn, D', 'Gosler, A']",League of European Research Universities - LERU
https://doi.org/10.14237/ebl.11.2.2020.1644,A Quantitative Method for Evaluating Contemporary Cultural Uses of Birds: A Case Study from Mexico,2020,"['Avila-Najera, DM', 'Tigar, BJ', 'Zavala-Sanchez, Z', 'Zetina-Cordoba, P', 'Serna-Lagunes, R']",University of Central Lancashire
https://doi.org/10.1145/3341215.3358243,Bird Watch: A Fully Immersive VR Birdwatching Simulator,2019,"['Jarrell, MA', 'Hendrickson, W', 'Wendell, C', 'Lanham, JD', 'Ogle, C']",Clemson University
https://doi.org/10.1007/s10531-021-02322-4,How do we study birds in urban settings? A systematic review,2022,"['Campbell, CE', 'Jones, DN', 'Awasthy, M', 'Chauvenet, ALM']",Griffith University
https://doi.org/10.1111/conl.12636,Species' cultural heritage inspires a conservation ethos: The evidence in black and white,2019,"['Hopper, NG', 'Gosler, AG', 'Sadler, JP', 'Reynolds, SJ']",University of Birmingham
https://doi.org/10.1080/00182370.2021.1916677,"Indispensable allies or overly-sentimentalized critters?: Debating the merits of insectivorous birds as defenders of crop, 1850-1914",2021,"['Bonhomme, B']",Youngstown State University
https://doi.org/10.1215/22011919-8867230,"Bird Banding and the Environmental Humanities Institutions, Intersubjectivities, and the Phenomenological Method of Margaret Morse Nice",2021,"['Whitney, K']",Rochester Institute of Technology
https://doi.org/10.3390/ani9060351,Large Terrestrial Bird Adapting Behavior in an Urbanized Zone,2019,"['Alexandrino, ER', 'Bogoni, JA', 'Navarro, AB', 'Bovo, AAA', 'Goncalves, RM', 'Charters, JD', 'Domini, JA', 'Ferraz, KMPMB']",Universidade de Sao Paulo
https://doi.org/10.2989/00306525.2017.1407834,Trends and themes in African ornithology,2018,"['Beale, CM']",University of York - UK
https://doi.org/10.1016/j.gecco.2021.e01580,Users of a citizen science platform for bird data collection differ from other birdwatchers in knowledge and degree of specialization,2021,"['Randler, C']",Eberhard Karls University of Tubingen
https://doi.org/10.1177/1940082917689898,Singing for Cages: The Use and Trade of Passeriformes as Wild Pets in an Economic Center of the Amazon-NE Brazil Route,2017,"['Souto, WMS', 'Torres, MAR', 'Sousa, BFCF', 'Lima, KGGC', 'Vieira, LTS', 'Pereira, GA', 'Guzzi, A', 'Silva, MV', 'Pralon, BGN']",Universidade Federal do Piaui
https://doi.org/10.1016/j.biocon.2018.08.012,"State of the world's raptors: Distributions, threats, and conservation recommendations",2018,"['McClure, CJW', 'Westrip, JRS', 'Johnson, JA', 'Schulwitz, SE', 'Virani, MZ', 'Davies, R', 'Symes, A', 'Wheatley, H', 'Thorstrom, R', 'Amar, A', 'Buij, R', 'Jones, VR', 'Williams, NP', 'Buechley, ER', 'Butchart, SHM']",BirdLife International
https://doi.org/10.1007/s10668-019-00425-1,"Understanding the use of wild birds in a priority conservation area of Caatinga, a Brazilian tropical dry forest",2020,"['Bezerra, DMM', 'de Araujo, HFP', 'Alves, RRN']",Instituto Federal da Paraiba (IFPB)
https://doi.org/10.1093/ornithapp/duab018,Bridging the research-implementation gap in avian conservation with translational ecology,2021,"['Saunders, SP', 'Wu, JX', 'Gow, EA', 'Adams, E', 'Bateman, BL', 'Bayard, T', 'Beilke, S', 'Dayer, AA', 'Fournier, AMV', 'Fox, K', 'Heglund, P', 'Lerman, SB', 'Michel, NL', 'Paxton, EH', 'Sekercioglu, CH', 'Smith, MA', 'Thogmartin, W', 'Woodrey, MS', 'van Riper, C']",University of Guelph
https://doi.org/10.1111/ddi.12901,Global raptor research and conservation priorities: Tropical raptors fall prey to knowledge gaps,2019,"['Buechley, ER', 'Santangeli, A', 'Girardello, M', 'Neate-Clegg, MHC', 'Oleyar, D', 'McClure, CJW', 'Sekercioglu, CH']",Utah System of Higher Education
https://doi.org/10.1002/wsb.791,Incorporating Human Dimensions Objectives Into Waterfowl Habitat Planning and Delivery,2017,"['Devers, PK', 'Roberts, AJ', 'Knoche, S', 'Padding, PI', 'Raftovich, R']",United States Department of the Interior
https://doi.org/10.2993/0278-0771-41.4.535,A Sacred Bird at the Crossroads of Destiny: Ethno-Ornithology of the Mountain Hawk-Eagle (Qadis) for the Paiwan People in Taiwan,2021,"['Huang, YK', 'Lemaitre, A', 'Wu, HJ', 'Sun, YH']",National Pingtung University Science & Technology
https://doi.org/10.1080/03721426.2017.1415588,"Aboriginal foraging practices and crafts involving birds in the post-European period of the Lower Murray, South Australia",2018,"['Clarke, PA']",South Australian Museum
https://doi.org/10.1080/2330443X.2019.1637802,"Statistics, Probability, and a Failed Conservation Policy",2019,"['Collins, MD']",United States Department of Defense
https://doi.org/10.14237/ebl.11.2.2020.1648,Saving the Greater Adjutant Stork by Changing Perceptions and Linking to Assamese Traditions in India,2020,"['Barman, PD', 'Sharma, DK', 'Cockrem, JF', 'Malakar, M', 'Kakati, B', 'Melvin, T']",Massey University
https://doi.org/10.1016/j.jaridenv.2019.104077,Patterns of bird species richness at two sampling scales in the Karoo biome of South Africa,2020,"['Lee, ATK', 'Wright, DR']",University of Kwazulu Natal
https://doi.org/10.1007/s10745-020-00208-7,"The Social and Cultural Importance of Keeping Wild Birds as Pets in an Ethnic Community in Guiyang City, China",2021,"['Dai, CY', 'Chen, Y', 'Zheng, QF']",Guangxi Normal University
https://doi.org/10.7717/peerj.5000,Population diversity and relatedness in Sugarbirds (Promeropidae: Promerops spp.),2018,"['Haworth, ES', 'Cunningham, MJ', 'Tjorve, KMC']",University of Pretoria
https://doi.org/10.1676/20-00132,"On the habitat use and foraging ecology of the Yellow-headed Brushfinch (Atlapetes flaviceps), an endemic species of conservation concern from Colombia",2022,"['Botero-Delgadillo, E', 'Bayly, NJ', 'Sanabria-Mejia, J', 'Caicedo, P', 'Escudero-Paez, S']",Max Planck Society
https://doi.org/10.1073/pnas.1802732116,Long-term declines in bird populations in tropical agricultural countryside,2019,"['Sekercioglu, CH', 'Mendenhall, CD', 'Oviedo-Brenes, F', 'Horns, JJ', 'Ehrlich, PR', 'Daily, GC']",Utah System of Higher Education
https://doi.org/10.1111/ibi.12885,Insights on the effect of aircraft traffic on avian vocal activity,2021,"['Vincelette, H', 'Buxton, R', 'Kleist, N', 'McKenna, MF', 'Betchkal, D', 'Wittemyer, G']",Colorado State University
https://doi.org/10.1016/j.jort.2017.10.001,Site preferences and participation of waterbird recreationists: Using choice modelling to inform habitat management,2017,"['Roberts, AJ', 'Devers, PK', 'Knoche, S', 'Padding, PI', 'Raftovich, R']",United States Department of the Interior
https://doi.org/10.1007/s10668-019-00386-5,Rearing and trade of wild birds in a semiarid region of Brazil,2020,"['Soares, HKD', 'Soares, VMD', 'Lopes, SD', 'de Lucenal, RFP', 'Barboza, RRD']",Universidade Federal da Paraiba
https://doi.org/10.25225/jvb.21027,Birds in power-line corridors: effects of vegetation mowing on avian diversity and abundance,2021,"['Hrouda, J', 'Brlik, V']",Charles University Prague
https://doi.org/10.3389/fevo.2017.00058,"Changes over 26 Years in the Avifauna of the Bogota Region, Colombia: Has Climate Change Become Important?",2017,"['Stiles, FG', 'Rosselli, L', 'De la Zerda, S']",Universidad Nacional de Colombia
https://doi.org/10.1007/978-3-030-03083-4_14,"The Avifauna of Angola: Richness, Endemism and Rarity",2019,"['Dean, WRJ', 'Melo, M', 'Mills, MSL']",National Research Foundation - South Africa
https://doi.org/10.1371/journal.pone.0241964,Motivations and fears driving participation in collaborative research infrastructure for animal tracking,2020,"['Crewe, TL', 'Kendal, D', 'Campbell, HA']",Charles Darwin University
https://doi.org/10.1007/s10531-019-01768-x,Patterns in island endemic forest-dependent bird research: the Caribbean as a case-study,2019,"['Devenish-Nelson, ES', 'Weidemann, D', 'Townsend, J', 'Nelson, HP']",University of Chester
https://doi.org/10.3389/fevo.2022.822220,Bird Migration at the Edge - Geographic and Anthropogenic Factors but Not Habitat Properties Drive Season-Specific Spatial Stopover Distributions Near Wide Ecological Barriers,2022,"['Schekler, I', 'Smolinsky, JA', 'Troupin, D', 'Buler, JJ', 'Sapir, N']",University of Haifa
https://doi.org/10.2989/00306525.2017.1388301,The continuing lack of ornithological research capacity in almost all of West Africa,2018,"['Cresswell, W']",University of St Andrews
https://doi.org/10.1111/btp.12859,Bird diversity and endemism along a land-use gradient in Madagascar: The conservation value of vanilla agroforestsTeny fanalahidy,2021,"['Martin, DA', 'Andriafanomezantsoa, R', 'Droge, S', 'Osen, K', 'Rakotomalala, E', 'Wurz, A', 'Andrianarimisa, A', 'Kreft, H']",University of Gottingen
